author,comment,sentiment,positive_score,negative_score,sentiment_score,channel,title
alitopan-j5y,Sama disini jg sm,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
sukasabi3143,ITU EMANG ORANG SPBU SETIAP MOBIL PERTAMINA ISI TANKI POM GAK DI CEK LAGI APA KO KALAU DIAMATI GAK LOGIKA,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
kicau_Pemula,selain pertamina gk ada t......,netral,0,0,0,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
kumokumo9953,"Harusnya bahannya :
1. Pertalite 2 bulan lalu
2. Pertalite 2 hari ini
3. Pertamax 2 bulan lalu
4. Pertamax 2 hari ini",netral,0,0,0,Rustanto Autoinfo,"Percobaan Ke-3, PERTAMAX dan PERTALITE apakah mengandung ETANOL?"
Nardy-r1y,Lucu kayak negara baru merdeka ribetnya negriku,positif,1,0,1,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
BambangBambangvivo-fr7bf,Menteri ESDM perlu segera diganti,netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
Gusti_Gede,Aku mobil karbu. Ngalamin juga,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
mrjoranpoh5640,"Harus di rombak mesin SPBU,harus di ganti transparan",positif,1,0,1,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
rohmanromdhonromdhon-sf3sn,Sepeda kenak juga,netral,0,0,0,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
timboljelodong6118,di proses,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
YadiDuro,Ancen asuuuuuu kbeh wonge my Pertamina nyusahin rakyat trus,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
IrwanOnco,Polisi malinge Yo dulure Yo maling,negatif,0,1,-1,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
naufalchanel2987,enak ya cuma minta maaf,netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
mochamadridwan2087,Tenang di kantong ada 11 T😂,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
AbahKambar-s2s,"Kalau jd mentri dn  dpr  orng  titipan.   Yg  jenius  dibuang  ke luar  negeri,   jadilah mereka makin bahlil",positif,1,0,1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
deesabrina3286,"Minta ganti rugi ke Bahlul aja dia yg bikin ide bbm di campur etanol, enak aja rakyat di buat percobaan klo sdh ada korban, siapa yg tanggu jawab? Ya Bahlul kan?",negatif,0,1,-1,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
AlamDanair,"Montor ku mbrebet""tiplok ngae bensin pretalit..saiki mlh tak ganti pretamak.normal neh koyo biasa ne.tak servis ne nek diler.alhamdulilah saiki tambah normal neh.saiki tak ganti pretamax",negatif,0,1,-1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
LilikPurwanto-t1o,Udah di habis lah tengki pendamnya.. piye tgl 21 kok sampai skrng ..,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
arifsutoaji304,Jangan percaya Bahlil itu mulutnya mencla mencle.,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
krisnahafizh8513,Vario saya mogok d Kertosono  d bengkel kena 270 ribu,netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
arsitekcholo554,"Meresahkan banyak akhir""ini disurabaya banyak yang motornya brebet mogok",netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
Umar-c6f4o,Gara gara lilil bahlillll,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
sukirman1233,Bahlul kerjaanya.,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
ajiibkuweren,Ko enak hanya minta maaf ganti rugi mana,negatif,0,1,-1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
alfirizkiamelia7462,Mending Beli Di Warung Madura Ga Si? Botolnya Transparan Keliatan,positif,1,0,1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
zhiezhie0107,Haruse ada kompensasi bukan aduan doang,netral,0,0,0,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
tholeze3691,"Gara gara, kebijakan penunggu po'on beringin😂😂😂😂",netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
ramadhanisdanialataya640,BUZZEERRR NYA PERTAMINA,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
DoniIndra-r1m,Video buzzer,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
rosidfajar4385,"MINTA MAAF DOANG, KERUGIAN KONSUMEN GIMANA😅",negatif,0,1,-1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
ebitpurwanti6167,Minta maap doang....ponakan ane juga bisa????? Ganti rugi dong enak aja,negatif,0,1,-1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
AjieGilang,Mungkin bisa jadi tampungan BBM yg ada tempat bocor apabila hujan air bisa masuk walau di lihat gak mungkin.tpi bisa jadi.tempat simpanan BBM itu bisa masukin air,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
crewpuc1152,"Itu akibat campuran etanol,semakin bnyak campuran etanol semakin bnyak bs menyerap Aer dan membuat Tanki bensin mkin cepat karat.kegoblokan aturan si bahlul ini 😅😅",netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
roslibinhashim2069,Wah kami hamba yang Maha Kaya tapi kamu hamba para koruptor.. itu beda antara kita..,netral,1,1,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
yudiht8371,Mentri ESDM memang anjing selalu membuat sengsara rakyat,negatif,0,1,-1,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
mieKare-i2y,"Tetanggaq kemarin jg sama mogok spdnya,bayangin mogok didesa yg jarang bengkel..pusinglah..
Hbz brp itu..
Tetanggaq yg lain mobilnya jg kena..walah..
Ra wedi kualat..
Omong2 kita daerah waru,perlu diselidiki semua pom waru..",netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
Hasanasyari-b6w,"saya jg jd korban tadi motor aku jg jadi korban pertalite,",netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
BukhoriMuhammad-r2y,Mau nya apa c ini....kok yg jadi korban tetep rakyat kecil.....BBM..di oplos....jiancuk tenan kok.,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
ramadhanisdanialataya640,BUZZEERRR NYA PERTAMINA,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
yadifahmi7933,Kalau di korut pejabat pertamina atau yg terkait di hukum MATI..!!!!! Dan pasti MODIAR kemudian itu si mati wajib dimiskinkan. Disita hartanya dikembalikan ke rakyat.,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
WitWithaya-o5q,"Kalau sehari satu bengkel 50 motor, artinya memang sudah keterlaluan ini.",netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
gedesudana-e1f,Ini ulah tangan jahil yg nyari keutungan tanpa memikirkan orang lain dasar tangan-tangan biadab .,negatif,0,1,-1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
ratnasarihidayati9664,"Motorku juga mogok, brebet dan tiba tiba mati sampek kecelakaan dijalan. Alhamdulillah aku, bayiku dan kandungan ku masih dilindungi Allah SWT.... gara gara pertalite😭.....dosamu besar pak bahlil.....hajat hidup orang banyak kau permainkan....KLO ada apa apa pada keluarga ku, kutuntut kau sampai hari pembalasan😢",positif,1,0,1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
ekohadi4329,"Saya baru beli sepeda motor mengisi Pertalite di Pertamina, kemudian mesin bertambah kasar.
    Saya tidak menyalakan Operator pertemina ,
Dimana tanggung Jawab dari Direksi dan Menteri BUMN.
    Bukan diservis atau Businya diganti Itu Bukan Solusinya.
Mana tanggung jawabnya.",netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
zigfrid1202,"Enaknya cuma bilang MINTA MAAF, terus tanggung jawabnya gimana? Masa cuma minta maaf doang?",netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
MustofaAlli-vn1yi,Hanya sekedar minta maaf tanpa ganti rugi?,negatif,0,1,-1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
AbidAdil-u7s,"Kasihan rakyat bensin premium warna kuning tolong di kembalikan lagi pak lebih bagus dari pada pertalite,masyarakat gresik",positif,1,0,1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
deryadi4265,"Dulu gas, sekarang BBM, gfungsi mmg ni menteri",positif,1,0,1,Rustanto Autoinfo,"Percobaan Ke-3, PERTAMAX dan PERTALITE apakah mengandung ETANOL?"
killaz_21,"bukan bercampur air tapi pertamina ETANOLNYA kebanyakan 10%, jelas jelas dibuku panduan motor tidak boleh dari 10% kandungan etanol karena dapat merusak mesin 😂",positif,2,1,1,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
ngatmam,Motornya serasa nyendat2 saat jalan .,netral,0,0,0,Rustanto Autoinfo,"Percobaan Ke-3, PERTAMAX dan PERTALITE apakah mengandung ETANOL?"
BambangPutra-w4b,Motor aq brebet mogok nganti pompa bensin ini semua gara gara pertamina bokne ancokkkk,netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
juniarsowuriatmoko575,"Kalau ada hijau atau kuning atau yang lain .. maka kami tak akan sudi mampir ke merah.
Kami pernah bangga sama yang merah .. tapi sejak para bahlul mengelolanya, merah jadi busuk !!",netral,1,1,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
JalilRakasiwi,Tambah ruwet.ruwet.ruwet.,negatif,0,1,-1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
ruangngobrol4903,Ganti babibos..,netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
samsulmuarifin7454,"Setelah Jokowi tetep Pertamina ..di bulan Oktober banyak yg mogok 
Dicampur apa",netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
DenBagus-f5z,Masyarakat bisa laporkan untuk menuntut ganti rugi terhadap SPBU /pertamina,negatif,0,1,-1,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
AGusrafi123,Pecat saja bahlil pekok,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
ravelraka1025,Bahlul sdh mulai berulah,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
HilaludinArrum,Semoga bahlil meninggal .amin.,positif,1,0,1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
abdularies2683,"Jawa Timur uji coba dari helm sekarang BBM pertalite campur ethanol kalau berhasil se-Indonesia pertalite campur ethanol,Karna gagal Pertamina malu besar siap yg tanggung jawab",positif,2,1,1,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
moridsboymau4208,Ini nanti yang rugi negara karna masyarakat perbaiki motor pake uang negara😂😂😂😂😂,negatif,0,1,-1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
inovasitv5646,"tangkap pelakunya, kalau tidak ada yg ditangkap, nanti pasti ada kasus begini lagi",negatif,0,1,-1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
pakdhejoyokertomas5561,Pake emulser.,netral,0,0,0,Bang Alie,bbm oplosan ethanol #info #mekanik #OTOMOTIF
kingtheyufi945,Kaya kenal,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
triindahsusilowati6579,Salam brebet dari Tulangan Sidoarjo dengan gampange Pertamina oleh mutusi mintak maaf .  merugikan masyarakat,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
tholeze3691,"Gara gara, kebijakan penunggu po'on beringin😂😂😂😂",netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
DGnadi,"Ngeri kali negri ini, sudah tau berbahaya untuk kendaraan, masih juga di perjual belikan.",negatif,0,2,-2,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
Graviel-z4l,Yng benar wah 😮,positif,2,0,2,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
supriyatin2290,Pemerintah indonesia isinya orng koruptor & rampok mkngak heran jk bbm jg kena imbasnya. Biang kerok si erick tohir itu awalnya,negatif,0,2,-2,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
ayeshafamily9550,"Boikot Pertamina ....
Sy Minggu lalu kehabisan akhirnya isi pertamak ga lama motor mogok²an mati sendiri,ga sy kuras sih tapi sy isi lagi ke langganan pom swasta (warna biru) lancar lagi ga mati2an",netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
alinakalista4617,.orang yg melakukan kecurangan ga takut dosa  besuk di alam kubur.,negatif,0,1,-1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
nyapz23,"Dimainkan itu, 😂",netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
benyaminjumat328,"Anak sy juga mbrebet dan rusak sparepartnya hrs servis, padahal dia br kerja dan motor pun br nyicil, tega banget sih nyengsarakan rakyat, beli BBM nya di SPBU Sidowungu, Menganti, Gresik",negatif,0,1,-1,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
Original_field,Beegerak  cepat supaya tak terbukti 😂,netral,0,0,0,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
marryantorotoro5299,BOBROK....!!!!!,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
astrantobasistiono8257,"Dan terjadi lagi
Kisah lama terulang kembali",netral,0,0,0,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
abiejaya8630,"Kayake semua jajaran di pertamina harus di ganti deh,dan di usut,jika ada konspirasi korupsi  ,hukum mati atau memiskinkan mereka!",negatif,0,1,-1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
kshshs-r1l,Sebodoh itu kah org industrial? Jenisnta beda dan bbm juga pas tingkat penyulingan tertentu bukan di level akhir,netral,0,0,0,Trend With Tee,🧠 Can You Crack the Secret Behind These Numbers?
satryo5845,"lak cuma maaf tok, pasien e pak purnomo yo isok boss. masyarakat soro kok penak maaf tok.",netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
TelekpitekM22,"YANG PERLU DI SIDAK ITU SI BAHLIL, BUKAN SPBU PAK.....",netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
papadaanhaja4809,Untuk apa percobaan itu,netral,0,0,0,Rustanto Autoinfo,"Percobaan Ke-3, PERTAMAX dan PERTALITE apakah mengandung ETANOL?"
angoncah9366,Sama donk,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
賴安李,Genk mulyono meresahkan rakyat ‼️,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
MohammadShaleh-r4p,"Beribu-ribu macam cara koruptor mencuri uang, kapan negara bisa maju kalau begitu caranya",negatif,1,2,-1,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
rudisusilo7963,Satu kata copot bahlil dari kabinet yang setuju angkat jarimu.,positif,1,0,1,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
MuhammadYusuf-rl4wl,Harusnya konsumen dikasih ganti rugi,negatif,0,1,-1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
alexsis4940,Bahlil harus di adili. Karena dia yang paling bertanggung jawab ☝☝☝🇮🇩,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
SyarifHaya-fk6hm,😂😂😂 ahhh posko tak berguna,netral,0,0,0,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
satryo5845,"lak cuma maaf tok, pasien e pak purnomo yo isok boss. masyarakat soro kok penak maaf tok.",netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
Arifin-f8x,"Harusnya yang diperiksa itu kilang pusatnya pak.bosss...jangan SPBU-nya, soalnya SPBU itu hanya menjual...😁😁",netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
nadyanaya8083,Bohonggg😊,netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
faisalcibin7382,Kok pejabat nya anteng2 aj spt gak peduli.,positif,1,0,1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
MuhammadYusuf-rl4wl,Harusnya konsumen dikasih ganti rugi,negatif,0,1,-1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
r-jibril8788,"Jelas tidak ada lah air di tengki pom pertamina, orang sudah di isikan kekendaraan kok baru disidak, uran bbm aja ribet gimana negara kita mau maju kayak negara lain, kl isinya pejabat2  tukus",positif,2,1,1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
cakanam2954,Termasuk saya adalah korbannya,netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
ErSoeryaTj,😅😅😅😅😅  sengkuni jadi menteri masalah silih berganti bukannya memberikan kenyamanan malah masalah.Kapan negeri dongeng ini bebas dari sengkuni.,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
teukuhabibi1312,Motor Vario baru keluar diller 5 hari mesin sehat 100% hari ini isi pertalite beberapa km jalan motor mogok  dan saya coba kuras pakai selang bau tidak setajam pertalite dulu dan berasa seperti alkohol. Lokasi Sidoarjo kota,negatif,0,1,-1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
dimasadinda2933,"Bahlil bedes gk punya malu kerja gagal sbgai mntri klo djepang bunuh diri atau mundur dri jabatan,tpi emng indonesia tdk punya malu harga diri lemah dlm apapun.",negatif,0,1,-1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
AdeArpian-o1b,"Jahat nya. Minta ampun ini. Pertamina. 
Kita dipaksa beli pertamax
Pertalite sm dia diracun. Biar orang beralih ke pertamax",negatif,0,1,-1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
MustofaAlli-vn1yi,Hanya sekedar minta maaf tanpa ganti rugi?,negatif,0,1,-1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
DjkSa-e4e,kapan negri ini terbebas dari kezoliman dari bangsanya sendriri😢,netral,0,0,0,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
philipkeididpurwinto9004,"Kyk nya anda cmn dapetin janji doank mbak
krn struk bensin dan biaya perbaikan ga dilampirin",netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
FendiSaja-x3p,"bahlil itu orang gk ngerti apa apa,orang PLONGA PLONGO koq diangat jadi pejabat",netral,0,0,0,Health Tips with Uloma,"apakah nama ibumu di sini, cek #roblox #trending #lucu"
RumahJendelo,Saya juga motornya mberbet,netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
eddycaramanlis7530,"Udah mahal ga bermutu lagi..kurang gede untung nya ya..semenjak Pertamina di pegang Bahlil ko jadi kacau.
LPJ kacau..",negatif,0,4,-4,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
RioRio-b9h1d,"Di negara kita engk ada yang asli semua nya oplosan 
BBM oplosan 
Beras oplosan 
Minyak oplosan 
Telur oplosan
Apalagi 
Semua nya di oplos",netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
aguspratomo7787,kata bahlul kualitas pertalite masih baik.. yang ngomong aja bahlul,positif,1,0,1,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
BahrulIbadillah-d4e,Semua gara gara bahlul menteri bermental korup rakyat jadi korban,negatif,0,1,-1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
arta6548,Lagi cari kambing hitam .,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
nickykepet8807,"Kenapa bahlil kok gak di ganti/di nonaktifkan sama pemerintah,. Asli negara konoha parah smua",netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
RasmanCahyono-e8w,Bensin baunya kaya terpentine cat kayu. Motor jadi nggak jalan apalagi motor injeksi ...😢,netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
erikindonesian7222,Iya bikin brebet,netral,0,0,0,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
yosihabib906,"Wkwk bahlul bilang semua negara pakai etanol dan itu memang cuman hanya sebesar 12% sedangkan di Indonesia etanolnya itu tinggi kadarnya 😅😅
Bahlul jadi Mentri sungguh konyol hancur negara cok 😅😅",negatif,0,2,-2,Health Tips with Uloma,"apakah nama ibumu di sini, cek #roblox #trending #lucu"
AdiHermanto-b4z,Bahlil yg harus di sidak pak polisi bukan pom bensinnya,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
nurilwidy2823,Bahlil ini karna ulahmu,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
SempolTamdes,Spbu  yng bersangkutan harus tanggung jawab,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
herwantowanto5260,Motor saya habis turun mesin gara gara pakai pertalite 😇😇😇😇🤔🤔🤔,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
pondrapratama8642,Bahlul blok,netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
Kalap_rowo,"Temqn saya baru tadi Sabtu siang 2 pengendara habis ngisi di pom demangan Lamongan , buat perjalanan ke Mojokerto brebet , lalu benainya di kuras abis terus di isi di Mojokerto langsung aman",netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
JalalFaiz25,"Posko pengaduan tidak ada gunanya, sebab tetap merugikan rakyat kecil  tindak lanjut jg masih nihil, pdhl  sdh beberapa hari kejadian",netral,0,0,0,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
cakanam2954,Termasuk saya adalah korbannya,netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
dj_ariyo_pati2124,Kebijakan Bahlil selama ini selalu menyusahkan rakyat kemarin LPG sekarang BBM tidak becus jadi menteri harusnya d copot,netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
HamidTarmidin-ox1li,Mekanik nya tambah semangat karena banyak motor yang rusak... tambah job..,negatif,1,3,-2,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
muchamadrifani3535,Kebijakan siapa ya etanol 10%....,netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
Keenanghaziutsman19,Wong maling periksa maling? 😂,negatif,0,2,-2,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
ridhobaihaqi144,"Semangat ya para pejabat pertamina, buzzer, kesdm 😂😂😂",positif,1,0,1,Health Tips with Uloma,"apakah nama ibumu di sini, cek #roblox #trending #lucu"
vikrivii15,Maksa pake punya pertamina tapi gak sebanding kualitasnya sama swasta,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
